Fips,Average Humidity,State_Code
17047,76.31%,IL
17151,76.29%,IL
17141,76.25%,IL
17065,76.23%,IL
17105,76.22%,IL
17087,76.08%,IL
17145,75.88%,IL
17055,75.84%,IL
17199,75.66%,IL
17193,75.52%,IL
17195,75.52%,IL
17201,75.17%,IL
17183,75.11%,IL
17165,74.93%,IL
17053,74.82%,IL
17075,74.79%,IL
17007,74.73%,IL
17059,74.67%,IL
17099,73.53%,IL
17091,73.06%,IL
17031,72.19%,IL
17089,72.14%,IL
17097,71.50%,IL
17063,71.06%,IL
17093,70.44%,IL
17197,70.43%,IL
17199,70.43%,IL
18151,81.38%,IN
18033,80.81%,IN
18119,80.30%,IN
18153,79.85%,IN
18003,79.84%,IN
18167,79.79%,IN
18117,79.69%,IN
18021,79.69%,IN
18025,79.56%,IN
18027,79.46%,IN
18175,79.38%,IN
18101,79.27%,IN
18093,79.16%,IN
18143,78.94%,IN
18123,78.93%,IN
18113,78.89%,IN
18037,78.85%,IN
18125,78.75%,IN
18071,78.71%,IN
18055,78.65%,IN
18019,78.62%,IN
18083,78.57%,IN
18105,78.51%,IN
18013,78.49%,IN
18121,78.49%,IN
18133,78.47%,IN
18061,78.43%,IN
18147,78.37%,IN
18135,78.29%,IN
18173,78.26%,IN
18165,78.12%,IN
18043,77.99%,IN
18109,77.89%,IN
18051,77.77%,IN
18155,77.51%,IN
18077,77.49%,IN
18129,77.34%,IN
18079,77.21%,IN
18005,77.16%,IN
18163,77.12%,IN
18177,76.99%,IN
18001,76.94%,IN
18115,76.88%,IN
18081,76.83%,IN
18179,76.73%,IN
18065,76.59%,IN
18035,76.46%,IN
18145,76.40%,IN
18041,76.35%,IN
18009,76.18%,IN
18029,76.16%,IN
18075,76.10%,IN
18059,76.10%,IN
18139,76.05%,IN
18183,76.05%,IN
18031,76.03%,IN
18161,76.01%,IN
18069,75.99%,IN
18063,75.97%,IN
18095,75.93%,IN
18137,75.84%,IN
18097,75.82%,IN
18045,75.72%,IN
18057,75.60%,IN
18159,75.10%,IN
18171,75.08%,IN
18047,74.98%,IN
18107,74.84%,IN
18011,74.80%,IN
18053,74.47%,IN
18067,74.28%,IN
18023,74.26%,IN
18007,73.94%,IN
18103,73.29%,IN
18157,72.65%,IN
18015,72.62%,IN
18169,72.39%,IN
18111,71.95%,IN
18017,71.86%,IN
18039,71.42%,IN
18141,71.03%,IN
18085,70.74%,IN
18181,70.73%,IN
18073,70.06%,IN
18049,68.71%,IN
18131,68.24%,IN
18089,67.99%,IN
18099,67.55%,IN
18149,66.77%,IN
18091,65.44%,IN
18127,63.65%,IN
19103,86.12%,IA
19095,85.34%,IA
19183,85.26%,IA
19139,85.18%,IA
19115,85.12%,IA
19031,85.04%,IA
